,Name,Skeleton_25_marker:Head,Skeleton_25_marker:Head,Skeleton_25_marker:Head,Skeleton_25_marker:Head,Skeleton_25_marker:Head,Skeleton_25_marker:Head,Skeleton_25_marker:Head,Skeleton_25_marker:LUArm,Skeleton_25_marker:LUArm,Skeleton_25_marker:LUArm,Skeleton_25_marker:LUArm,Skeleton_25_marker:LUArm,Skeleton_25_marker:LUArm,Skeleton_25_marker:LUArm,Skeleton_25_marker:RHand,Skeleton_25_marker:RHand,Skeleton_25_marker:RHand,Skeleton_25_marker:RHand,Skeleton_25_marker:RHand,Skeleton_25_marker:RHand,Skeleton_25_marker:RHand,Skeleton_25_marker:HeadTop,Skeleton_25_marker:HeadTop,Skeleton_25_marker:HeadTop,Skeleton_25_marker:HeadTop,Skeleton_25_marker:HeadTop,Skeleton_25_marker:HeadTop
,ID,ADA090BD40,ADA090BD40,ADA090BD40,ADA090BD40,ADA090BD40,ADA090BD40,ADA090BD40,ADA090BD40,ADA090BD40,ADA090BD40,ADA090BD40,ADA090BD40,ADA090BD40,ADA090BD40,ADA090BD40,ADA090BD40,ADA090BD40,ADA090BD40,ADA090BD40,ADA090BD40,ADA090BD40,D,D,D,E32BA90BB0A511EFDFE03BCA0568F78F,E32BA90BB0A511EFDFE03BCA0568F78F,E32BA90BB0A511EFDFE03BCA0568F78F
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.338051,0.701408,-0.261631,0.570349,-96.959770,1509.769043,376.113556,-0.076752,0.387390,-0.603382,0.692797,-154.799789,1375.324829,240.796356,0.646540,0.710570,0.264821,0.083349,-67.328262,823.295959,640.690491,24.650452,1597.622681,382.341248,24.650452,1597.622681,382.341248
1,0.008333,0.337889,0.701179,-0.261275,0.570889,-97.037704,1509.778198,376.044678,-0.076798,0.387331,-0.603443,0.692772,-154.830688,1375.279663,240.713928,0.646282,0.710900,0.264662,0.083038,-66.822800,823.373413,640.459045,24.463982,1597.670776,382.406219,24.463982,1597.670776,382.406219
2,0.016667,0.337505,0.701169,-0.261027,0.571241,-97.029961,1509.788696,375.876678,-0.077084,0.387422,-0.603467,0.692669,-154.809097,1375.232910,240.566772,0.645992,0.711195,0.264677,0.082718,-66.247078,823.431213,640.176636,24.373619,1597.900024,382.241028,24.373619,1597.900024,382.241028
3,0.025000,0.337291,0.700959,-0.260681,0.571784,-97.085304,1509.818237,375.823212,-0.077079,0.387356,-0.603558,0.692627,-154.832901,1375.218506,240.480423,0.645679,0.711600,0.264399,0.082566,-65.765503,823.562378,639.991455,24.236952,1598.007690,382.285736,24.236952,1598.007690,382.285736
4,0.033333,0.337045,0.700645,-0.260521,0.572386,-97.044609,1509.793213,375.683441,-0.077340,0.387447,-0.603609,0.692502,-154.797226,1375.148560,240.342010,0.645422,0.711827,0.264522,0.082227,-65.261993,823.543457,639.682068,24.215805,1598.062988,382.248291,24.215805,1598.062988,382.248291
5,0.041667,0.336882,0.700365,-0.260233,0.572956,-97.024895,1509.827637,375.566895,-0.077462,0.387423,-0.603721,0.692404,-154.776337,1375.140625,240.206009,0.645095,0.712168,0.264465,0.082024,-64.839661,823.669617,639.493042,24.170254,1598.227417,382.215637,24.170254,1598.227417,382.215637
6,0.050000,0.336717,0.700004,-0.260033,0.573584,-96.977043,1509.793213,375.471588,-0.077561,0.387417,-0.603844,0.692290,-154.738815,1375.073730,240.094040,0.644827,0.712445,0.264473,0.081694,-64.387527,823.683960,639.211609,24.145533,1598.239624,382.249084,24.145533,1598.239624,382.249084
7,0.058333,0.336602,0.699702,-0.259827,0.574114,-96.878571,1509.808716,375.312897,-0.077847,0.387502,-0.603945,0.692122,-154.675034,1375.054077,239.927292,0.644564,0.712675,0.264609,0.081328,-63.971581,823.768616,638.935242,24.193882,1598.333618,382.194672,24.193882,1598.333618,382.194672
8,0.066667,0.336512,0.699347,-0.259625,0.574691,-96.860268,1509.813965,375.250732,-0.077785,0.387419,-0.604128,0.692016,-154.644073,1375.022949,239.841309,0.644494,0.712848,0.264385,0.081094,-63.667446,823.850708,638.747192,24.205778,1598.402588,382.212189,24.205778,1598.402588,382.212189
9,0.075000,0.336454,0.698816,-0.259593,0.575383,-96.717682,1509.787109,375.094696,-0.078044,0.387506,-0.604254,0.691827,-154.543823,1374.966553,239.683960,0.644344,0.712972,0.264506,0.080792,-63.277901,823.842712,638.414001,24.303614,1598.353027,382.214386,24.303614,1598.353027,382.214386
10,0.083333,0.336388,0.698632,-0.259334,0.575762,-96.652344,1509.812622,375.012695,-0.078007,0.387448,-0.604463,0.691681,-154.471008,1374.957520,239.572220,0.644243,0.713157,0.264328,0.080555,-63.041149,823.974487,638.258789,24.373598,1598.482666,382.176666,24.373598,1598.482666,382.176666
11,0.091667,0.336319,0.698135,-0.259320,0.576412,-96.494263,1509.748535,374.919250,-0.078087,0.387459,-0.604646,0.691507,-154.355255,1374.877075,239.457108,0.644153,0.713261,0.264393,0.080132,-62.738998,823.930908,637.952393,24.473000,1598.380005,382.228210,24.473000,1598.380005,382.228210
